"May 15, 2013",USD,PPI m/m,-0.7
"Apr 12, 2013",USD,PPI m/m,-0.6
"Mar 14, 2013",USD,PPI m/m,0.7
"Feb 20, 2013",USD,PPI m/m,0.2
"Jan 15, 2013",USD,PPI m/m,-0.2
"Dec 13, 2012",USD,PPI m/m,-0.8
"Nov 14, 2012",USD,PPI m/m,-0.2
"Oct 12, 2012",USD,PPI m/m,1.1
"Sep 13, 2012",USD,PPI m/m,1.7
"Aug 14, 2012",USD,PPI m/m,0.3
"Jul 13, 2012",USD,PPI m/m,0.1
"Jun 13, 2012",USD,PPI m/m,-1
"May 11, 2012",USD,PPI m/m,-0.2
"Apr 12, 2012",USD,PPI m/m,0
"Mar 15, 2012",USD,PPI m/m,0.4
"Feb 16, 2012",USD,PPI m/m,0.1
"Jan 18, 2012",USD,PPI m/m,-0.1
"Dec 15, 2011",USD,PPI m/m,0.3
"Nov 15, 2011",USD,PPI m/m,-0.3
"Oct 18, 2011",USD,PPI m/m,0.8
"Sep 14, 2011",USD,PPI m/m,0
"Aug 17, 2011",USD,PPI m/m,0.2
"Jul 14, 2011",USD,PPI m/m,-0.4
"Jun 14, 2011",USD,PPI m/m,0.2
"May 12, 2011",USD,PPI m/m,0.8
"Apr 14, 2011",USD,PPI m/m,0.7
"Mar 16, 2011",USD,PPI m/m,1.6
"Feb 16, 2011",USD,PPI m/m,0.8
