,predicted_mean
0,126.17076341681951
1,125.16047063296061
2,127.19271553426813
3,124.27544275939891
4,123.3009447326759
5,122.00308581005552
6,121.85635935436636
7,123.26578760814272
8,123.0597576656734
9,125.27709481631744
