Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,6.675200,6.675700,6.637600,6.675200,6.675200,0
2020-10-22,6.650000,6.687600,6.647000,6.650000,6.650000,0
2020-10-23,6.683500,6.691600,6.660200,6.683500,6.683500,0
2020-10-26,6.685800,6.713200,6.678200,6.685700,6.685700,0
2020-10-27,6.711300,6.722700,6.696300,6.711300,6.711300,0
2020-10-28,6.704400,6.729000,6.704000,6.704400,6.704400,0
2020-10-29,6.727900,6.728300,6.696600,6.727900,6.727900,0
2020-10-30,6.714000,6.714400,6.671000,6.714000,6.714000,0
2020-11-02,6.691700,6.699500,6.679400,6.689100,6.689100,0
2020-11-03,6.689700,6.695700,6.671700,6.689700,6.689700,0
2020-11-04,6.676500,6.753200,6.652000,6.676600,6.676600,0
2020-11-05,6.652000,6.661000,6.602500,6.652000,6.652000,0
2020-11-06,6.605200,6.636500,6.599300,6.605200,6.605200,0
2020-11-09,6.610500,6.629000,6.571900,6.610400,6.610400,0
2020-11-10,6.628100,6.628600,6.596600,6.628100,6.628100,0
2020-11-11,6.614800,6.631000,6.583800,6.614800,6.614800,0
2020-11-12,6.630800,6.632400,6.606300,6.630800,6.630800,0
2020-11-13,6.610600,6.625400,6.597100,6.610600,6.610600,0
2020-11-16,6.605400,6.605400,6.560500,6.605400,6.605400,0
2020-11-17,6.583800,6.584200,6.547000,6.583800,6.583800,0
2020-11-18,6.555100,6.563800,6.531100,6.555100,6.555100,0
2020-11-19,6.559500,6.590900,6.551100,6.559500,6.559500,0
2020-11-20,6.582400,6.582500,6.559700,6.582400,6.582400,0
2020-11-23,6.562000,6.585000,6.554600,6.561900,6.561900,0
2020-11-24,6.584500,6.591600,6.571300,6.584500,6.584500,0
2020-11-25,6.590200,6.590600,6.565800,6.590200,6.590200,0
2020-11-26,6.577500,6.578200,6.555000,6.577500,6.577500,0
2020-11-27,6.574500,6.582800,6.568500,6.574500,6.574500,0
2020-11-30,6.575900,6.593500,6.564500,6.576000,6.576000,0
2020-12-01,6.577800,6.585700,6.559400,6.577800,6.577800,0
2020-12-02,6.570800,6.571300,6.544100,6.570800,6.570800,0
2020-12-03,6.562400,6.563200,6.541800,6.562400,6.562400,0
2020-12-04,6.541400,6.551100,6.522300,6.541400,6.541400,0
2020-12-07,6.530600,6.542000,6.528500,6.530600,6.530600,0
2020-12-08,6.528700,6.538100,6.516400,6.528700,6.528700,0
2020-12-09,6.531700,6.544200,6.514400,6.531700,6.531700,0
2020-12-10,6.542200,6.551300,6.534700,6.542200,6.542200,0
2020-12-11,6.544400,6.547300,6.527500,6.544400,6.544400,0
2020-12-14,6.545700,6.549800,6.532300,6.545700,6.545700,0
2020-12-15,6.549700,6.555000,6.535500,6.549700,6.549700,0
2020-12-16,6.538300,6.544700,6.519400,6.538300,6.538300,0
2020-12-17,6.531300,6.539100,6.519500,6.531300,6.531300,0
2020-12-18,6.532100,6.543700,6.523100,6.532100,6.532100,0
2020-12-21,6.536700,6.554400,6.536700,6.536000,6.536000,0
2020-12-22,6.548200,6.552500,6.532600,6.548200,6.548200,0
2020-12-23,6.542200,6.554100,6.528900,6.542200,6.542200,0
2020-12-24,6.539600,6.539800,6.519600,6.539600,6.539600,0
2020-12-25,6.529000,6.543200,6.519600,6.529000,6.529000,0
2020-12-28,6.540800,6.541700,6.527000,6.540800,6.540800,0
2020-12-29,6.535600,6.536200,6.518500,6.535600,6.535600,0
2020-12-30,6.530000,6.535800,6.514500,6.530000,6.530000,0
2020-12-31,6.522200,6.546100,6.505600,6.522200,6.522200,0
2021-01-01,6.531700,6.532000,6.531500,6.531700,6.531700,0
2021-01-04,6.525700,6.525700,6.457800,6.532000,6.532000,0
2021-01-05,6.460500,6.466200,6.429400,6.460500,6.460500,0
2021-01-06,6.455200,6.462300,6.443700,6.455200,6.455200,0
2021-01-07,6.460700,6.478000,6.446500,6.460700,6.460700,0
2021-01-08,6.477200,6.477400,6.453800,6.477200,6.477200,0
2021-01-11,6.474400,6.490600,6.467500,6.474300,6.474300,0
2021-01-12,6.479700,6.479900,6.454100,6.479700,6.479700,0
2021-01-13,6.462900,6.470600,6.451300,6.462900,6.462900,0
2021-01-14,6.467000,6.474400,6.459900,6.467000,6.467000,0
2021-01-15,6.473100,6.480100,6.454800,6.473100,6.473100,0
2021-01-18,6.479800,6.496100,6.477200,6.479700,6.479700,0
2021-01-19,6.491400,6.491500,6.469400,6.491400,6.491400,0
2021-01-20,6.477900,6.478100,6.456500,6.477900,6.477900,0
2021-01-21,6.465400,6.465600,6.450900,6.465400,6.465400,0
2021-01-22,6.461300,6.484100,6.459900,6.461400,6.461400,0
2021-01-25,6.480900,6.485100,6.472600,6.480800,6.480800,0
2021-01-26,6.478700,6.478800,6.455200,6.478700,6.478700,0
2021-01-27,6.463700,6.485300,6.451200,6.463700,6.463700,0
2021-01-28,6.482100,6.492400,6.448300,6.482100,6.482100,0
2021-01-29,6.448400,6.465800,6.417800,6.448400,6.448400,0
2021-02-01,6.426800,6.468600,6.426800,6.426800,6.426800,0
2021-02-02,6.467500,6.468900,6.443500,6.467500,6.467500,0
2021-02-03,6.456400,6.461700,6.449000,6.456400,6.456400,0
2021-02-04,6.459200,6.470800,6.456700,6.459200,6.459200,0
2021-02-05,6.470700,6.479900,6.460200,6.470700,6.470700,0
2021-02-08,6.465700,6.465700,6.440300,6.465700,6.465700,0
2021-02-09,6.448000,6.452400,6.431800,6.448000,6.448000,0
2021-02-10,6.434200,6.457300,6.427800,6.434200,6.434200,0
2021-02-11,6.457200,6.457300,6.456900,6.457200,6.457200,0
2021-02-12,6.456900,6.457500,6.456900,6.456900,6.456900,0
2021-02-15,6.457300,6.457500,6.457000,6.457200,6.457200,0
2021-02-16,6.457200,6.457400,6.456400,6.457200,6.457200,0
2021-02-17,6.457100,6.457600,6.456900,6.457100,6.457100,0
2021-02-18,6.457600,6.488400,6.440900,6.457600,6.457600,0
2021-02-19,6.487200,6.487500,6.446700,6.487200,6.487200,0
2021-02-22,6.485800,6.485800,6.451200,6.485800,6.485800,0
2021-02-23,6.463500,6.469500,6.451500,6.463100,6.463100,0
2021-02-24,6.463000,6.463000,6.444300,6.463000,6.463000,0
2021-02-25,6.456000,6.456500,6.442300,6.456000,6.456000,0
2021-02-26,6.453800,6.480700,6.453600,6.453800,6.453800,0
2021-03-01,6.474200,6.474200,6.453500,6.477900,6.477900,0
2021-03-02,6.463200,6.474100,6.460900,6.463200,6.463200,0
2021-03-03,6.469500,6.471100,6.453500,6.469500,6.469500,0
2021-03-04,6.466800,6.470800,6.458100,6.466800,6.466800,0
2021-03-05,6.469000,6.497300,6.463800,6.469000,6.469000,0
2021-03-08,6.495800,6.530100,6.492400,6.495700,6.495700,0
2021-03-09,6.524600,6.542200,6.503400,6.524600,6.524600,0
2021-03-10,6.505600,6.516000,6.494600,6.505600,6.505600,0
2021-03-11,6.504900,6.505200,6.483600,6.504900,6.504900,0
2021-03-12,6.492700,6.507600,6.471600,6.493000,6.493000,0
2021-03-15,6.498500,6.508900,6.488900,6.498500,6.498500,0
2021-03-16,6.498900,6.505600,6.489800,6.498900,6.498900,0
2021-03-17,6.504900,6.506600,6.489500,6.505000,6.505000,0
2021-03-18,6.503200,6.509600,6.482900,6.502600,6.502600,0
2021-03-19,6.504800,6.517200,6.499000,6.504800,6.504800,0
2021-03-22,6.499000,6.511100,6.499000,6.499000,6.499000,0
2021-03-23,6.506300,6.516600,6.499000,6.506300,6.506300,0
2021-03-24,6.515500,6.525500,6.511800,6.514900,6.514900,0
2021-03-25,6.514700,6.545800,6.514700,6.514600,6.514600,0
2021-03-26,6.545400,6.545400,6.530100,6.544800,6.544800,0
2021-03-29,6.540500,6.572000,6.540400,6.540500,6.540500,0
2021-03-30,6.568600,6.573900,6.555800,6.568700,6.568700,0
2021-03-31,6.571000,6.571300,6.543500,6.571000,6.571000,0
2021-04-01,6.551700,6.576400,6.551700,6.551200,6.551200,0
2021-04-02,6.564400,6.567100,6.558700,6.564400,6.564400,0
2021-04-05,6.566500,6.566700,6.565700,6.566500,6.566500,0
2021-04-06,6.565900,6.566100,6.538500,6.565900,6.565900,0
2021-04-07,6.538500,6.545100,6.533000,6.538500,6.538500,0
2021-04-08,6.541000,6.551300,6.540600,6.541000,6.541000,0
2021-04-09,6.550000,6.560300,6.543600,6.550000,6.550000,0
2021-04-12,6.552000,6.558900,6.534400,6.552000,6.552000,0
2021-04-13,6.547900,6.552000,6.537500,6.547900,6.547900,0
2021-04-14,6.542600,6.543500,6.519600,6.542600,6.542600,0
2021-04-15,6.528100,6.540200,6.517600,6.528100,6.528100,0
2021-04-16,6.521800,6.532700,6.510300,6.521300,6.521300,0
2021-04-19,6.511100,6.530300,6.497800,6.511100,6.511100,0
2021-04-20,6.509300,6.509300,6.484500,6.509300,6.509300,0
2021-04-21,6.498500,6.500800,6.484400,6.498500,6.498500,0
2021-04-22,6.490000,6.492500,6.477400,6.490000,6.490000,0
2021-04-23,6.490300,6.498400,6.480900,6.490300,6.490300,0
2021-04-26,6.494400,6.494400,6.479200,6.494400,6.494400,0
2021-04-27,6.484500,6.489400,6.473100,6.484500,6.484500,0
2021-04-28,6.482100,6.489200,6.468900,6.482100,6.482100,0
2021-04-29,6.477900,6.478000,6.457900,6.477900,6.477900,0
2021-04-30,6.471200,6.475200,6.457200,6.471200,6.471200,0
2021-05-03,6.473500,6.473500,6.472500,6.473500,6.473500,0
2021-05-04,6.472800,6.472900,6.472800,6.472800,6.472800,0
2021-05-05,6.472800,6.472800,6.472100,6.472800,6.472800,0
2021-05-06,6.473000,6.482300,6.453800,6.473000,6.473000,0
2021-05-07,6.463200,6.464700,6.425100,6.463200,6.463200,0
2021-05-10,6.431500,6.432500,6.403700,6.431500,6.431500,0
2021-05-11,6.415100,6.431400,6.414900,6.415100,6.415100,0
2021-05-12,6.428400,6.456000,6.426700,6.428300,6.428300,0
2021-05-13,6.455200,6.456400,6.443700,6.455200,6.455200,0
2021-05-14,6.450900,6.451200,6.420300,6.450900,6.450900,0
2021-05-17,6.436100,6.442600,6.427500,6.436100,6.436100,0
2021-05-18,6.438200,6.438400,6.412700,6.438200,6.438200,0
2021-05-19,6.424200,6.438300,6.415900,6.424200,6.424200,0
2021-05-20,6.434000,6.441600,6.431500,6.434000,6.434000,0
2021-05-21,6.433900,6.435700,6.422700,6.433900,6.433900,0
2021-05-24,6.433200,6.438400,6.414000,6.433200,6.433200,0
2021-05-25,6.418300,6.418600,6.397100,6.418300,6.418300,0
2021-05-26,6.410000,6.410000,6.385900,6.410000,6.410000,0
2021-05-27,6.390700,6.395900,6.372000,6.390700,6.390700,0
2021-05-28,6.382000,6.383400,6.359100,6.382000,6.382000,0
2021-05-31,6.367400,6.372900,6.351800,6.367400,6.367400,0
2021-06-01,6.369000,6.383100,6.361500,6.369000,6.369000,0
2021-06-02,6.380700,6.389900,6.372700,6.380700,6.380700,0
2021-06-03,6.380100,6.402800,6.375800,6.380100,6.380100,0
2021-06-04,6.402700,6.411100,6.392300,6.402700,6.402700,0
2021-06-07,6.394300,6.401700,6.385400,6.394300,6.394300,0
2021-06-08,6.396300,6.399500,6.382900,6.396300,6.396300,0
2021-06-09,6.399500,6.400000,6.375200,6.399500,6.399500,0
